A,B,C,D,E,F,G,H,I,J,K,L,Class
127975.5,128911.5,494.38365,1829.9535,789.72345,310.1613,1.3794,1.48905,1.00995,1.0806,3.8193,0.939,P
145392,147357,526.9518,1923.297,798.15075,349.65465,1.34835,1.48005,1.10235,1.11135,3.42405,0.9903,P
102364.5,103111.5,442.1559,1516.869,606.6366,323.001,1.26975,1.4892,1.11915,1.2579,2.81715,1.09335,M
139753.5,141591,516.63285,1829.9985,731.1453,367.7952,1.29645,1.4805,1.09395,1.1799,2.98185,1.0599,M
142723.5,144003,522.09375,1851.525,753.73455,362.71665,1.3149,1.48665,1.08465,1.1772,3.117,1.03905,P
113751,114687,466.0992,1586.5905,621.2751,351.2784,1.2372,1.4877,1.0887,1.2777,2.6529,1.1253,M
98608.5,99643.5,433.96815,1499.4675,592.1538,319.3494,1.26315,1.4844,0.97245,1.24005,2.78145,1.09935,M
105678,106951.5,449.2551,1546.3095,609.4194,333.36675,1.25565,1.48215,1.0458,1.24965,2.74215,1.1058,M
114045,115726.5,466.70115,1639.4085,654.237,334.15035,1.28955,1.47825,1.0602,1.1997,2.93685,1.0701,M
115980,117471,470.64375,1581.2175,602.26275,369.7128,1.1841,1.48095,1.11705,1.3116,2.4435,1.17225,M
126061.5,127576.5,490.6728,1784.8185,740.4087,326.6448,1.3461,1.48215,0.885,1.11885,3.40005,0.99405,P
107301,108397.5,452.69175,1656.6975,686.08605,300.14205,1.3488,1.48485,0.86655,1.10535,3.42885,0.9897,P
105333,106498.5,448.52115,1639.899,681.7221,300.06285,1.34685,1.48365,0.8127,1.10745,3.40785,0.98685,P
89857.5,90892.5,414.2646,1407.591,546.2388,315.2184,1.22505,1.4829,1.1295,1.28235,2.59935,1.1376,M
161542.5,162819,555.4488,2049.084,886.69575,348.5433,1.37925,1.4883,1.09275,1.0878,3.816,0.9396,P
143245.5,145122,523.0476,1799.064,708.8016,388.0014,1.25535,1.48065,1.10805,1.2513,2.7402,1.10685,M
95755.5,96558,427.64415,1422.084,541.25745,339.05205,1.16925,1.48755,1.07475,1.33875,2.3946,1.18515,M
149146.5,150295.5,533.7123,1917.6525,807.3969,354.2145,1.3479,1.4886,1.15995,1.14675,3.4191,0.9915,P
95106,96049.5,426.1914,1451.0895,572.1567,318.3147,1.2465,1.4853,1.0092,1.2771,2.69625,1.11735,M
119136,120201,477.0042,1677.8985,684.8778,334.37265,1.30905,1.48665,1.11885,1.19655,3.0723,1.04475,M
100176,101023.5,437.40375,1567.8285,649.5672,295.9419,1.3353,1.4874,1.03155,1.1523,3.29235,1.0101,P
102759,103888.5,443.007,1505.706,579.52125,340.35975,1.2141,1.48365,1.10235,1.2816,2.55405,1.1466,M
130716,132063,499.6491,1785.7365,730.2735,343.48245,1.32375,1.4847,0.9057,1.15905,3.18915,1.0263,P
113946,115402.5,466.4985,1714.9845,727.8717,300.7644,1.3659,1.4811,1.13355,1.09545,3.63015,0.96135,P
164817,166401,561.0501,2047.2765,848.6262,372.5139,1.34775,1.48575,1.07985,1.1118,3.41715,0.99165,P
106398,107314.5,450.78285,1622.0355,680.4615,300.52305,1.3458,1.48725,1.13385,1.14345,3.39645,0.99375,P
83644.5,84423,399.6864,1390.029,566.72895,282.41685,1.3005,1.4862,0.99855,1.224,3.01005,1.05795,P
148905,150538.5,533.28,1868.9445,743.53755,383.58705,1.28505,1.48365,1.0449,1.2054,2.9076,1.0758,P
130189.5,131265,498.64185,1767.8295,728.7027,342.3291,1.3242,1.4877,1.0374,1.1778,3.19305,1.02645,P
111646.5,112612.5,461.76735,1569.012,612.1305,349.07775,1.23225,1.4871,1.00995,1.28235,2.6304,1.1316,M
127987.5,129430.5,494.4069,1827.4575,780.48495,314.07345,1.37325,1.48335,1.04925,1.0836,3.7275,0.95025,P
110938.5,111954,460.30095,1560.0795,610.97265,348.56925,1.23195,1.48635,1.0896,1.2888,2.6292,1.1301,M
122473.5,123448.5,483.63945,1686.114,679.37475,345.7125,1.2912,1.48815,1.09185,1.218,2.94765,1.06785,P
132435,133431,502.9236,1830.4965,770.79705,331.71765,1.35405,1.48875,1.03455,1.1175,3.48555,0.97875,P
120457.5,121590,479.6424,1675.428,672.32175,343.50045,1.2894,1.48605,0.98895,1.21335,2.93595,1.0701,M
114558,115392,467.7495,1696.4925,726.3198,301.80225,1.3644,1.4892,1.1181,1.12545,3.6099,0.966,P
104506.5,105316.5,446.75805,1553.013,623.0802,321.2463,1.2852,1.48845,1.02645,1.2252,2.9094,1.0755,M
93835.5,94744.5,423.3351,1478.6445,601.02945,298.6419,1.3017,1.4856,0.91725,1.2135,3.01875,1.0566,M
111061.5,112272,460.55595,1593.9735,641.8503,332.1993,1.2834,1.4838,0.993,1.236,2.89815,1.07625,M
125887.5,128107.5,490.33395,1689.2925,631.0707,383.92545,1.19055,1.47405,1.06035,1.24725,2.46555,1.1655,M
135513,136792.5,508.73445,1803.0045,746.9442,346.8924,1.3284,1.4859,1.1484,1.1787,3.2298,1.02165,P
179200.5,180871.5,585.0195,2087.832,861.89865,399.2076,1.32945,1.4862,0.97005,1.16235,3.2385,1.0182,P
130738.5,132015,499.692,1797.144,745.47885,336.5466,1.33845,1.48545,0.939,1.1445,3.32265,1.00545,P
141439.5,142567.5,519.73995,1820.2365,744.42675,364.518,1.30785,1.48815,1.13385,1.20705,3.0633,1.0473,P
126643.5,128458.5,491.8041,1757.9565,712.63725,343.99455,1.3137,1.47885,1.00635,1.1586,3.10755,1.03515,M
123607.5,124792.5,485.8734,1705.4505,689.9007,343.2135,1.30125,1.48575,0.9516,1.20165,3.01515,1.05645,M
132636,134379,503.3052,1770.8625,707.5359,360.01485,1.29135,1.4805,1.1091,1.1958,2.94795,1.06695,M
97407,98293.5,431.31615,1484.6325,591.7752,316.13685,1.26795,1.4865,0.98415,1.2495,2.80785,1.09335,M
102265.5,103741.5,441.942,1565.7405,611.0421,320.75985,1.27665,1.4787,1.0998,1.17945,2.8575,1.08495,M
119367,120541.5,477.46635,1624.659,625.75785,366.21465,1.21635,1.48545,1.0503,1.2786,2.56305,1.1445,M
101487,102469.5,440.2566,1500.672,578.25345,338.466,1.2162,1.4856,1.04925,1.27425,2.56275,1.1421,M
156481.5,158695.5,546.67875,2068.866,879.17895,343.4988,1.38075,1.479,0.93765,1.03365,3.83925,0.9327,P
110809.5,112146,460.0332,1628.877,664.7607,320.27865,1.31445,1.48215,1.0398,1.1808,3.1134,1.038,P
164500.5,165628.5,560.51115,1991.2845,828.85305,380.9301,1.33215,1.4898,1.0845,1.173,3.26385,1.0143,P
96534,97611,429.37905,1483.986,584.4396,316.06635,1.26165,1.4835,0.96675,1.23945,2.77365,1.10205,M
113982,114849,466.57215,1637.922,671.40525,325.95765,1.3113,1.48875,1.06185,1.2012,3.0897,1.04235,P
130623,132037.5,499.4712,1856.2305,794.0037,315.30525,1.3767,1.48395,1.11435,1.0719,3.7773,0.94365,P
122548.5,123706.5,483.7875,1788.4575,761.79645,309.83895,1.3704,1.4859,1.0191,1.0833,3.68805,0.95265,P
127963.5,129729,494.36055,1898.931,825.62505,301.0599,1.39665,1.4796,1.0623,1.00335,4.1136,0.8982,P
161517,162997.5,555.405,1975.0185,811.08375,382.16805,1.323,1.48635,1.11855,1.17075,3.18345,1.0272,P
111741,112737,461.9628,1674.4275,702.44385,305.7621,1.35045,1.4868,1.0608,1.1268,3.4461,0.98655,P
110584.5,112222.5,459.56595,1598.601,632.3328,338.14305,1.2675,1.4781,0.9843,1.22355,2.805,1.0902,M
148663.5,149760,532.8474,1833.9165,733.91385,387.19635,1.27425,1.48905,1.04385,1.2498,2.84325,1.089,M
103813.5,104839.5,445.27425,1530.861,592.9017,335.6022,1.2366,1.4853,1.10055,1.2525,2.65005,1.1265,M
95877,96888,427.91535,1457.775,566.7381,325.30845,1.22835,1.4844,1.03275,1.2756,2.6133,1.1325,M
97981.5,98953.5,432.5862,1490.7705,581.2248,323.3922,1.24635,1.4853,1.01385,1.2465,2.69595,1.11645,M
128686.5,129717,495.7551,1741.044,715.0017,344.6877,1.31415,1.48815,1.1079,1.2003,3.11145,1.0401,P
168280.5,169644,566.9145,2056.2975,860.1588,375.3885,1.34955,1.488,1.098,1.1253,3.4371,0.98865,P
139866,142120.5,516.84075,1790.8245,697.41285,385.6152,1.2498,1.47615,1.1028,1.23315,2.7129,1.11165,M
78985.5,79639.5,388.3956,1392.651,585.84975,257.9838,1.3467,1.4877,0.8598,1.15155,3.40635,0.9945,P
98578.5,99525,433.90215,1481.28,587.9604,321.4446,1.25595,1.48575,1.0962,1.27035,2.74365,1.107,M
137628,139068,512.68905,1829.316,747.5505,352.46115,1.32285,1.4844,0.89565,1.1628,3.18135,1.0287,P
114388.5,115852.5,467.40345,1643.0745,647.6973,339.96915,1.2768,1.4811,1.06395,1.19805,2.8578,1.0824,M
105454.5,106327.5,448.77975,1558.5465,627.00915,323.38485,1.28505,1.4877,0.97035,1.22745,2.90835,1.07355,M
173616,174909,575.8317,2145.2535,918.48015,361.7379,1.3788,1.4889,1.04565,1.06665,3.80865,0.94035,P
155293.5,156769.5,544.5996,1997.22,842.52465,354.25305,1.36095,1.4859,1.1238,1.1007,3.56745,0.9696,P
109482,110308.5,457.2693,1606.29,655.5615,320.62275,1.3083,1.48875,0.9558,1.1997,3.06705,1.04625,P
100959,102360,439.10985,1497.924,562.52985,343.8921,1.1871,1.47945,1.03455,1.27215,2.4537,1.1709,M
99894,100908,436.7877,1597.4325,677.84115,282.3969,1.36365,1.485,1.1283,1.10685,3.60045,0.9666,P
143748,145044,523.96425,1843.8585,751.53285,366.03765,1.3101,1.48665,1.09785,1.1955,3.0798,1.0458,M
101937,103551,441.2316,1612.947,650.11695,300.6465,1.3299,1.4766,0.8487,1.1079,3.2436,1.01805,P
112386,113965.5,463.2942,1634.6625,659.68785,326.89305,1.3029,1.47915,0.92175,1.1892,3.02715,1.05345,M
106999.5,107929.5,452.0553,1531.485,597.01755,343.05585,1.2276,1.4871,1.089,1.28985,2.61045,1.1358,M
153565.5,154887,541.5612,1845.6615,716.0613,411.35595,1.22775,1.48725,1.1046,1.27455,2.61105,1.13445,M
124251,126522,487.1364,1793.592,641.5152,371.9661,1.22205,1.47315,1.09185,1.092,2.58705,1.1391,M
123103.5,124314,484.88175,1688.4705,673.35885,350.40165,1.28085,1.48545,1.0728,1.22085,2.88255,1.08015,M
140193,141811.5,517.44465,1828.341,733.60365,367.395,1.2984,1.4829,1.04805,1.18575,2.9952,1.05795,M
97900.5,98871,432.4074,1605.237,686.89965,273.0807,1.3764,1.4853,1.1151,1.0743,3.7731,0.94425,P
117610.5,118893,473.94045,1660.833,666.81465,339.48465,1.29105,1.4838,1.0755,1.20555,2.9463,1.0662,M
143740.5,145768.5,523.95045,1821.8565,709.8456,390.8886,1.25205,1.47915,1.06155,1.22445,2.724,1.10715,M
103233,104200.5,444.0276,1555.0125,633.42765,312.078,1.3053,1.48605,1.1271,1.20705,3.04455,1.0515,M
113278.5,114535.5,465.13005,1637.244,659.1609,329.76315,1.29885,1.4835,0.9546,1.1949,2.99835,1.0584,M
113223,114625.5,465.0162,1576.2435,582.9297,371.75385,1.15545,1.4817,1.05225,1.2885,2.35215,1.19655,M
146023.5,147132,528.09495,1997.3415,855.19755,327.1221,1.386,1.48875,0.75645,1.035,3.92145,0.92625,P
130330.5,131559,498.9117,1870.6845,808.1145,309.0234,1.386,1.48605,1.08225,1.053,3.92265,0.9261,P
105765,106830,449.4399,1694.5995,730.6455,277.49415,1.38765,1.485,0.80415,1.0413,3.9495,0.92265,P
150379.5,152217,535.91385,1900.3605,758.30685,381.17685,1.29675,1.48185,1.1277,1.17735,2.9841,1.06005,M
122320.5,123838.5,483.33735,1679.769,663.02085,355.16145,1.2666,1.48155,0.939,1.22565,2.8002,1.0935,M
118168.5,119233.5,475.06335,1665.549,671.63115,338.2746,1.29585,1.48665,1.08345,1.20435,2.97825,1.06095,P
124075.5,125130,486.7923,1757.9445,738.74895,322.42245,1.34955,1.4874,1.02795,1.1352,3.4368,0.98835,P
117223.5,118758,473.16,1703.403,698.10975,322.3503,1.3305,1.48065,1.0914,1.14225,3.24855,1.0167,P
139534.5,140973,516.22785,1774.0455,700.5327,382.6353,1.25655,1.4847,1.05825,1.25355,2.7462,1.10535,P
133492.5,134592,504.9276,1841.0085,775.34235,329.41515,1.35795,1.4877,1.14465,1.1136,3.53055,0.9768,P
124296,125470.5,487.2246,1706.061,682.7028,349.91145,1.28805,1.4859,1.09515,1.2075,2.92665,1.07055,M
137182.5,138382.5,511.85865,1805.235,737.00205,356.20515,1.3131,1.48695,1.01865,1.19025,3.1035,1.04175,M
120376.5,121702.5,479.48115,1715.2515,712.20525,324.64395,1.33515,1.48365,0.9306,1.1568,3.2907,1.0098,P
83059.5,83907,398.2863,1496.7315,639.49905,249.60855,1.38105,1.48485,0.8439,1.04835,3.843,0.9342,P
135345,136936.5,508.419,1807.311,727.49535,357.56805,1.30635,1.4826,1.10925,1.1715,3.0519,1.04835,M
128191.5,129516,494.80065,1704.1875,669.44025,367.73265,1.2534,1.4847,1.11855,1.248,2.73075,1.10865,M
119455.5,120571.5,477.64335,1837.065,799.72695,285.65505,1.401,1.48605,0.7332,1.0008,4.1994,0.89595,P
110205,111129,458.77665,1572.828,628.5324,335.62965,1.26825,1.48755,1.11345,1.25955,2.80905,1.09485,M
104466,105912,446.6715,1569.969,631.1466,317.2947,1.2966,1.47945,0.94815,1.19835,2.98365,1.06155,M
94293,95307,424.3659,1467.768,564.3864,319.50135,1.23645,1.4841,1.0212,1.2375,2.64975,1.12785,M
104721,106243.5,447.2163,1689.108,720.25995,279.03075,1.38285,1.47855,1.07325,1.03785,3.87195,0.93135,P
96507,98331,429.31905,1499.7195,547.94445,341.64015,1.1727,1.47225,1.1415,1.2132,2.40585,1.17525,P
129766.5,131095.5,497.8311,1697.178,645.98295,385.1565,1.2042,1.48485,1.11795,1.2738,2.5158,1.15605,M
128799,130045.5,495.9717,1727.4165,694.4556,359.09475,1.28385,1.4856,1.01865,1.2204,2.90085,1.0713,M
104811,105667.5,447.40845,1546.326,621.76785,322.8036,1.28205,1.48785,0.9501,1.2393,2.88915,1.0794,M
145902,147315,527.8752,1902.21,783.5178,357.00795,1.3353,1.4856,0.88575,1.14015,3.29205,1.01055,P
103024.5,104005.5,443.57895,1532.355,614.745,321.5952,1.2783,1.4859,0.9789,1.2405,2.86725,1.0824,M
152040,153601.5,538.8645,1977.0705,833.90025,349.55175,1.36185,1.4847,1.11735,1.0998,3.5784,0.9693,M
130123.5,131355,498.5154,1696.4145,657.91305,379.3605,1.2255,1.4859,1.09695,1.27845,2.60145,1.13655,M
99229.5,100171.5,435.33255,1573.6185,655.2015,290.0364,1.34505,1.4859,0.882,1.13295,3.3885,0.9966,P
114511.5,115374,467.6547,1657.875,684.39285,320.49165,1.3254,1.48875,1.11195,1.17795,3.2031,1.02495,P
101442,102270,440.15895,1590.8985,669.2484,291.25215,1.35045,1.48785,1.1184,1.13325,3.4467,0.98655,P
104095.5,104959.5,445.8786,1508.163,594.3999,335.41815,1.2384,1.4877,1.1121,1.29405,2.65815,1.12515,M
97383,98235,431.26305,1481.8875,573.651,325.173,1.2357,1.48695,1.0491,1.25385,2.64615,1.1277,M
109218,110721,456.7176,1614.882,647.4642,324.96885,1.29735,1.4796,1.0815,1.1841,2.9886,1.0581,M
129406.5,130516.5,497.14005,1655.85,619.86225,400.05915,1.1457,1.48725,1.11105,1.3344,2.3241,1.203,M
93057,93838.5,421.5753,1460.211,594.8538,299.8629,1.2954,1.48755,1.1358,1.23405,2.9757,1.06305,P
122035.5,123217.5,482.77395,1638.546,616.8759,379.143,1.1832,1.4856,1.10685,1.2852,2.4405,1.1739,M
99906,100855.5,436.81395,1528.5045,615.86535,311.8398,1.29345,1.4859,1.10895,1.209,2.96235,1.06395,P
101748,103224,440.8224,1506.585,570.9963,342.393,1.20045,1.47855,1.07865,1.2675,2.50155,1.158,M
122553,124605,483.7965,1698.6795,669.26655,352.2549,1.27545,1.47525,1.00785,1.2009,2.84985,1.08435,M
121945.5,123078,482.5959,1668.4455,662.14815,352.76085,1.26945,1.4862,1.12665,1.23855,2.8155,1.0932,P
109560,110977.5,457.4322,1560.009,575.78595,364.52925,1.16115,1.4808,1.07985,1.2729,2.36925,1.1916,M
151359,152449.5,537.6564,1879.0485,758.8041,381.66885,1.29645,1.4892,1.13925,1.212,2.98215,1.0629,P
100294.5,101358,437.66235,1510.8795,597.48585,322.257,1.26315,1.48425,0.97965,1.2423,2.78115,1.09875,M
105322.5,106314,448.4988,1510.3125,582.13635,346.575,1.20525,1.48605,1.05705,1.30545,2.51955,1.1556,M
114619.5,115641,467.87505,1728.4905,729.42105,301.2654,1.36605,1.4868,0.9747,1.08465,3.6318,0.9621,P
135411,136498.5,508.54305,1692.993,633.39195,409.7586,1.1439,1.488,1.07715,1.33575,2.3187,1.20435,M
127080,128296.5,492.65085,1752.2535,723.9555,337.81185,1.32675,1.48575,1.12725,1.1703,3.21465,1.02075,P
152443.5,153525,539.5791,1907.0445,788.78925,369.8328,1.32495,1.4895,0.96525,1.18515,3.1992,1.02615,P
88890,90099,412.0284,1511.817,620.0913,278.766,1.33995,1.4799,1.10925,1.09965,3.3366,0.99675,M
133530,135210,504.99855,1862.592,794.17125,322.67205,1.37055,1.4814,0.99915,1.08825,3.6918,0.95385,P
111373.5,112936.5,461.20245,1623.339,651.6711,327.7386,1.29645,1.4793,1.10685,1.1949,2.9826,1.06155,P
86841,88318.5,407.25195,1447.779,574.683,290.00355,1.29495,1.47495,1.1688,1.17135,2.9724,1.06305,P
146128.5,147154.5,528.28485,1866.9525,774.25275,361.8162,1.32615,1.4895,1.11525,1.18545,3.20985,1.02345,P
115594.5,116709,469.8609,1663.707,678.3639,326.83605,1.31445,1.48575,0.9243,1.1808,3.11325,1.0389,M
130629,131839.5,499.48275,1731.666,680.0382,368.12025,1.2612,1.4862,1.0797,1.23165,2.77095,1.10175,M
141193.5,142474.5,519.2877,1893.114,802.39725,337.18605,1.3611,1.4865,1.05465,1.1139,3.56955,0.9708,P
149397,151684.5,534.16035,1949.0115,808.16355,356.23575,1.3464,1.47735,0.846,1.11195,3.4029,0.9915,P
130551,132181.5,499.33365,1682.181,627.34485,400.0854,1.1553,1.48155,1.05525,1.3044,2.352,1.19385,M
121831.5,122881.5,482.37015,1632.8475,623.6934,374.17545,1.2,1.48725,1.09935,1.29195,2.5002,1.1601,M
128050.5,129315,494.52855,1762.0485,724.12905,339.31215,1.3251,1.4853,1.032,1.1661,3.20115,1.02435,P
115351.5,116454,469.3668,1692.846,703.19475,314.33355,1.34175,1.48575,0.8577,1.13805,3.35565,1.00125,P
109188,110238,456.6549,1587.7245,647.52975,322.73055,1.30035,1.48575,1.13835,1.2246,3.0096,1.0578,M
85518,86637,404.1378,1359.846,514.7835,320.32395,1.1742,1.48065,1.03125,1.30755,2.41065,1.17765,M
133125,134175,504.23205,1719.015,660.0384,386.55555,1.2159,1.4883,1.0893,1.2738,2.56125,1.14585,M
97366.5,98413.5,431.2266,1480.8705,583.42215,320.481,1.2534,1.4841,1.1016,1.25535,2.73075,1.10865,M
149536.5,151347,534.40965,1873.0905,740.13795,387.1881,1.27845,1.482,0.9543,1.2051,2.8674,1.083,M
142635,143989.5,521.93175,1913.3205,812.54595,336.3552,1.36545,1.4859,1.16145,1.1016,3.62355,0.96345,P
159355.5,160366.5,551.67615,1982.562,821.9718,371.83935,1.3377,1.49055,0.912,1.1463,3.3159,1.0068,P
116536.5,118009.5,471.77145,1619.4975,618.9546,361.39425,1.2177,1.48125,1.02615,1.25625,2.56905,1.1433,M
161214,162751.5,554.8839,1959.012,793.20675,389.20695,1.30695,1.4859,1.1721,1.1877,3.057,1.04925,M
135108,136218,507.97365,1759.2,701.41935,368.9919,1.2756,1.48785,1.0467,1.23435,2.85135,1.0863,M
101941.5,103137,441.24135,1500.8055,590.3217,331.6437,1.24095,1.4826,1.1136,1.27965,2.67,1.12125,M
130176,131340,498.6159,1754.1645,713.4891,349.3329,1.30785,1.48665,1.10685,1.1961,3.0636,1.0482,P
111847.5,113100,462.18285,1662.894,671.2719,319.1874,1.31955,1.48335,1.0452,1.1436,3.15465,1.03275,M
172575,174094.5,574.1028,2165.3955,924.86835,357.61695,1.3833,1.48695,1.0617,1.0407,3.8793,0.93105,P
121741.5,123351,482.19195,1721.8575,706.4652,330.11025,1.32615,1.4805,0.99315,1.161,3.21015,1.02375,P
91519.5,92331,418.0782,1531.029,645.49635,271.41345,1.36095,1.4868,0.9132,1.10385,3.56745,0.97155,P
76096.5,76845,381.2265,1440.273,633.9408,231.003,1.3968,1.48545,1.06065,1.03725,4.11645,0.9021,P
106360.5,107481,450.7035,1636.899,683.46015,298.8933,1.34895,1.4844,0.9225,1.1223,3.4299,0.9891,P
117468,118441.5,473.6532,1680.1935,694.50135,324.2346,1.32645,1.4877,0.90135,1.17645,3.213,1.023,P
115812,117073.5,470.30265,1743.3915,743.4444,298.971,1.3734,1.4838,1.14795,1.0773,3.73005,0.9489,P
138126,139213.5,513.6159,1915.1235,818.2218,322.98915,1.3782,1.4883,1.07475,1.06485,3.79995,0.94155,P
175191,176547,578.43765,2113.3185,885.2685,379.61145,1.3551,1.48845,1.092,1.1091,3.498,0.9801,P
112732.5,113992.5,464.00775,1754.0955,764.379,282.66825,1.39365,1.48335,0.92805,1.0359,4.0563,0.9105,P
93523.5,94494,422.6307,1571.922,663.80685,270.0552,1.37025,1.48455,0.79035,1.0701,3.687,0.95505,P
104178,105057,446.0553,1523.061,609.90015,326.9616,1.2663,1.4874,1.1142,1.26975,2.7981,1.0971,M
141198,142927.5,519.29595,1773.63,686.23785,394.57605,1.2273,1.48185,1.1325,1.26915,2.6088,1.13505,M
116572.5,117787.5,471.84435,1588.908,604.91145,370.3143,1.18605,1.48455,1.10955,1.3056,2.45025,1.17,M
97806,98656.5,432.19875,1476.7035,575.02185,325.66305,1.2363,1.4871,1.0017,1.2681,2.64855,1.1274,M
109524,110626.5,457.35705,1674.9165,714.01545,293.7696,1.3671,1.485,1.1661,1.10385,3.64575,0.96075,P
105322.5,106296,448.4988,1641.549,694.42755,290.9367,1.362,1.4862,1.1001,1.10505,3.58035,0.96885,P
111730.5,112683,461.94105,1679.067,702.7392,305.367,1.35105,1.48725,0.8637,1.1205,3.45195,0.98595,P
132630,133656,503.2938,1770.321,732.2796,347.1126,1.32075,1.48845,0.91845,1.19655,3.1644,1.03095,P
101160,102343.5,439.5468,1515.888,593.139,326.9085,1.2516,1.4826,1.08615,1.2447,2.7216,1.11165,P
137470.5,138730.5,512.39565,1839.822,771.2544,342.28755,1.34415,1.48635,1.11945,1.14825,3.3798,0.9966,P
147696,149278.5,531.1107,2095.848,915.4938,309.3579,1.4118,1.4841,0.8391,0.9507,4.43895,0.87015,P
148170,149526,531.96225,1825.668,726.15915,391.1382,1.26375,1.48635,1.0824,1.25685,2.78475,1.0989,P
154467,156226.5,543.1485,1870.797,730.7865,405.654,1.2477,1.48305,1.002,1.24785,2.70225,1.1148,M
128704.5,129765,495.78975,1840.4385,793.23525,310.1832,1.3806,1.4877,0.81225,1.0743,3.83595,0.9375,P
118401,119556,475.53045,1714.9725,707.83755,320.6013,1.33725,1.48545,0.94995,1.1382,3.3117,1.0077,P
100480.5,101971.5,438.0681,1511.931,597.26505,323.07585,1.26165,1.4781,1.11255,1.2429,2.77305,1.10025,M
109333.5,110392.5,456.9591,1702.0935,720.7971,292.00095,1.37145,1.4856,0.79485,1.0671,3.70275,0.951,P
133125,134611.5,504.23205,1680.8655,633.1203,403.5459,1.15575,1.4835,1.1001,1.3323,2.35335,1.1946,M
102412.5,103650,442.25955,1512.852,594.8652,330.3156,1.24755,1.48215,1.0914,1.26525,2.70135,1.11525,M
106959,108073.5,451.9698,1589.214,624.2124,329.26965,1.2744,1.48455,1.0887,1.19745,2.84355,1.08615,M
93379.5,94920,422.3052,1575.465,667.46445,268.5471,1.37325,1.4757,0.8937,1.06365,3.72825,0.94905,P
109041,109903.5,456.3474,1661.9415,705.65175,296.3862,1.36125,1.4883,1.1493,1.11615,3.57135,0.97005,P
133768.5,134776.5,505.4493,1784.1135,726.52935,353.2689,1.3107,1.48875,0.9039,1.1883,3.0849,1.04355,P
128848.5,130158,496.0671,1689.7995,663.67605,371.97195,1.2423,1.48485,1.08795,1.2759,2.6763,1.12125,M
102480,103807.5,442.4052,1620.156,682.6401,288.28455,1.35975,1.4808,0.8151,1.10385,3.55185,0.97215,P
113131.5,114639,464.82825,1760.361,765.8196,282.6813,1.3941,1.48035,1.134,1.03215,4.06365,0.9105,P
129018,129981,496.3932,1681.3785,654.57795,377.5038,1.22535,1.4889,1.0917,1.2903,2.601,1.13745,M
131571,133377,501.2805,1852.713,729.38505,346.8396,1.31955,1.47975,1.08735,1.08375,3.15435,1.03095,M
113113.5,114454.5,464.7912,1705.7085,715.59825,305.8563,1.35615,1.48245,0.87345,1.0992,3.50955,0.97425,P
82567.5,85101,397.1049,1675.134,598.1844,266.5788,1.3428,1.4553,1.1931,0.8319,3.36585,0.99585,P
115224,117130.5,469.1073,1802.7885,785.00235,286.39965,1.39665,1.47555,1.1415,1.00245,4.11135,0.8964,P
164917.5,166299,561.22125,2009.1765,840.1221,376.30215,1.34115,1.48755,1.16445,1.15515,3.3489,1.002,P
140886,142038,518.7219,1758.735,675.8073,399.33855,1.21005,1.48785,1.0944,1.2879,2.53845,1.1514,M
141703.5,143350.5,520.22475,1897.683,791.39895,343.65975,1.3512,1.48275,1.07085,1.11255,3.45435,0.98595,P
137565,138898.5,512.57175,1829.118,748.14105,354.1107,1.32135,1.4856,1.1079,1.1625,3.16905,1.02765,P
146949,148131,529.76595,1858.1685,746.87595,377.0313,1.2948,1.488,0.9423,1.2033,2.97135,1.06395,P
146508,147531,528.97035,1867.947,768.00225,365.21505,1.31955,1.48965,0.9642,1.18725,3.15435,1.0332,P
101512.5,102339,440.31195,1599.483,676.54125,287.9235,1.35735,1.48785,1.098,1.12185,3.52455,0.9762,P
149079,150535.5,533.59155,1842.045,728.77335,391.80225,1.2648,1.48545,0.9591,1.2423,2.79015,1.0983,M
127998,129118.5,494.42715,1698.15,663.7314,369.351,1.24635,1.48695,1.0053,1.25505,2.6955,1.11735,M
112960.5,114207,464.4768,1619.718,632.26275,342.47505,1.2609,1.48365,1.01085,1.2174,2.7693,1.1019,M
119859,121368,478.44945,1677.6165,644.18475,356.9829,1.2486,1.4814,1.03035,1.2042,2.70675,1.11405,M
99363,100506,435.6252,1491.0435,582.00345,327.5115,1.2399,1.4829,1.02195,1.26375,2.6655,1.12275,M
156462,158421,546.6447,2069.1705,884.59515,340.6158,1.38435,1.4814,0.9861,1.0332,3.8955,0.927,P
107857.5,109089,453.86415,1583.04,616.7442,336.8817,1.2564,1.48305,0.97185,1.21695,2.74605,1.10385,M
147615,148749,530.96505,1990.9005,859.8258,329.1501,1.3857,1.4886,1.122,1.053,3.91845,0.92625,P
113238,114289.5,465.04695,1679.7075,702.9732,308.30565,1.34805,1.4862,0.9429,1.13475,3.42015,0.99225,P
150051,151155,535.32825,1914.345,797.52945,361.33575,1.33725,1.48905,1.11795,1.1577,3.3108,1.0068,P
108207,109390.5,454.59885,1572.2985,618.09855,335.8026,1.25925,1.4838,1.0431,1.23765,2.76105,1.10325,M
141912,143334,520.60725,1750.6635,665.30925,408.26265,1.1844,1.48515,1.0908,1.3092,2.4444,1.17375,M
148672.5,150387,532.8636,1867.785,710.6928,402.69585,1.236,1.4829,1.08045,1.20495,2.6472,1.1247,M
106558.5,107649,451.12275,1553.805,614.40045,332.3523,1.26165,1.48485,1.0662,1.24785,2.7729,1.1013,M
